manufacturerID,organizationName,company,registered
272,,APF S.r.l.,True
273,,Radig Hard & Software,True
274,,"RGB Lighting Equipment  Co., Ltd.",True
275,,Airstar SAS,True
276,,BSL Lighting,True
277,,Kontrolcla Show Control S.L.,True
278,,SmoothLUX B.V.,True
279,,"AD Toyo Lighting (Guangzhou) Co.,Ltd",True
280,,"Vello Light Co., Ltd.",True
281,,Peter Schneyder Design Management GmbH,True
282,,"Guangzhou Hotion Technology Co., Ltd.",True
283,,Jumptronic GmbH,True
284,,"Letong Electronic (Guangzhou) Co., Ltd.",True
285,,"Yangzhou Zhituo Lighting Vision Technology Co., Ltd.",True
286,,Master LED,True
287,,STF s.r.l.,True
364,,LGR,True
365,,Hive Lighting,True
366,,Artled Technology Corp.,True
367,,SQD  Lighting Co. Ltd,True
399,,Guangzhou YiCheng Light Industry Ltd.,True
400,,"Wizlogics Co., Ltd.",True
401,,Sycra Technologies,True
409,,Ocean LED Marine Ltd.,True
410,,TwoGain Electronics,True
411,,ElectroTAS Soluciones Profesionales,True
415,,DaisaLed Ltd.,True
416,,Light With LED,True
417,,Yuesheng Stage Light Limited,True
418,,"Art Lighting Production, s.r.o.",True
419,,"Dongguan Yongya Technology Co., Ltd",True
420,,Custom Effects LED Solutions Inc.,True
421,,"MJ Lighting Co., Ltd.",True
422,,"Hengmei Lighting Technology Co., Ltd.",True
424,,"ZongDa Photoelectricity Science and Technology Co., Ltd.",True
425,,Shenzhen Uniview LED Ltd. Co.,True
426,,Vitec Videocom Inc.,True
427,,"Shanghai Euchips Industrial Co., Ltd.",True
428,,"DongGuan  Phcistar Optoelectronics Technology Co., Ltd.",True
431,,"Hunan Minghe Opto Tech Co., Ltd.",True
433,,Lightcare A/S,True
434,,DJSI Schinstad ANS (Northern Light),True
435,,Ricardo Dias,True
436,,Inventeq B.V.,True
437,,"Beijing Soft Rock Technology Development Co., Ltd.",True
446,,BEN-RI Electronica S.A.,True
455,,SCHIEDERWERK GmbH,True
456,,"Guangzhou JINLIN Stage Lighting Equipment Co., Ltd.",True
457,,ALPHA LITE Inc.,True
458,,CASCADE s.a.s.,True
459,DE SISTI,ILT Italy SRL,True
460,,Portman Custom Lights,True
461,,Compulite Systems (2000) LTD,True
462,,Railiks Enterprises,True
463,,SRM Technik GmbH,True
464,,"Shanghai Semping Electronics Co., Ltd.",True
465,,Yarilo Pro,True
466,,GIP Innovation Tools GmbH,True
467,AKSERA,JSC Aksera,True
468,,x-labs,True
469,,"Shenzhen Liantronics Co., Ltd",True
470,,"Argent Data Systems, Inc.",True
471,,LIMEDIA,True
472,,Daniel Large Lighting,True
473,,Lightronics Inc.,True
474,,"Guangzhou Daisy Electronic Technology Co., Ltd.",True
475,,Logen Ltd.,True
476,,LED Linear GmbH,True
477,,Photonia srl,True
478,,Guangzhou Baiyun Xinxiang Lighting Equipment Factory (XPRO LIGHT),True
479,,"GuangZhou Dream Lighting Equipment Co., Ltd.",True
480,,IBN Labs Ltd.,True
512,,Lighting Infusion LLC,True
513,,"Blinkinlabs, LLC",True
514,,Paul Heuts,True
515,,Artemide S.p.A,True
516,,LIGHTLINE Lasertechnik GmbH,True
517,,SmartShow UK,True
518,,Studio Due Light S.r.l.,True
519,,SILL LIGHTS GmbH,True
520,,"Shenzhen Yuming Vision Technology Co., Ltd.",True
521,,ER Productions,True
522,,Seebacher GmbH,True
528,,Leksa Lighting Technologies Pvt. Ltd.,True
529,,Arkaos S.A.,True
530,,Frame The Space (FTSLED),True
531,,"Huizhou visionX Technology Co., Ltd.",True
532,,Impactrum,True
538,,WizzuLED by Scooon,True
547,,"ShenZhen Focus Vision Intelligent System Co., Ltd.",True
548,,Vanguard LED Displays,True
549,,"Northern Lights Electronic Design, LLC",True
565,,"Company 235, LLC",True
578,,ABLELITE INTERNATIONAL,True
603,,Imlight-Showtechnic,True
623,,Acuity Brands Lighting Inc.,True
640,,Arrigo Lighting,True
655,,GRE Alpha Electronics Ltd.,True
672,,LLC Likhoslavl Plant of Lighting Engineering (Svetotehnika),True
673,,LLC Moscow Experimental Lighting Plant (TeleMechanic),True
674,,OJSC Kadoshkinsky electrotechnical,True
675,,Big Bang Lightning,True
676,,McNicoll Entertainment Systems,True
682,,"Jinnax Opto Technology Co., Ltd.",True
683,,Rift Labs,True
684,,PSL Electronik Sanayi ve Ticaret A.S.,True
688,,DMXControl-Projects e.V.,True
698,,"Chainzone Technology (Foshan) Co., Ltd.",True
701,,RE-Engineering,True
712,,Growflux LLC,True
713,,Theatrixx Technologies,True
714,,Acclaim Lighting,True
715,,"GVA Lighting, Inc.",True
716,,Brightix,True
720,,Winona Lighting,True
721,,Hoffmeister Leuchten GmbH,True
737,,Tait Towers Manufacturing Inc.,True
738,,CLF Lighting BV.,True
746,,d3 Technologies Ltd.,True
747,AMOLVIN RESEARCH LAB,Amolvin Research & Development Lab.,True
748,,Lutron Electronics,True
749,,OpenLX SP Ltd.,True
750,,Firma GUTKOWSKI - Gutkowski Jan,True
751,,"ABLETECH Co., Ltd.",True
752,,"iColor LED Shenzhen Co., Ltd.",True
753,,Lichtmanufaktur Berlin GmbH,True
767,,"Guangzhou Eway Stage Equipment Technology Co., Ltd.",True
770,,Swefog Technology Group AB,True
771,,"Shanghai Moons' Automation Control Co., Ltd",True
773,,"DiCon Fiberoptics, Inc.",True
774,,feno GmbH,True
775,,Ledium Kft.,True
776,,ImageCue LLC,True
778,,Shenzhen Colordreamer Tech Ltd.,True
779,,"Guangzhou Wanrui Stage Light Equipment Co., Ltd.",True
